country,year,parent_company,hdpe,ldpe,o,pet,pp,ps,pvc,grand_total,num_events,volunteers
Ukraine,2020,Werner & Mertz,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17,238.0
Ukraine,2020,Yarych,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,17,238.0
Ukraine,2020,Yarych Holdings Limited,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,17,238.0
Ukraine,2020,Yofi!,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,17,238.0
Ukraine,2020,Yves Rocher,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17,238.0
Ukraine,2020,zalchem,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17,238.0
Ukraine,2020,Zelena apteka,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,17,238.0
Ukraine,2020,Zeman,0.0,0.0,0.0,22.0,0.0,0.0,0.0,22.0,17,238.0
Ukraine,2020,Ziaja,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17,238.0
Ukraine,2020,Zott,0.0,0.0,0.0,0.0,14.0,2.0,0.0,16.0,17,238.0
Ukraine,2020,АВК,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,17,238.0
Ukraine,2020,Верес,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,17,238.0
Ukraine,2020,ГК Нові Продукти,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,17,238.0
Ukraine,2020,"ГТФ ""Неман""",0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,17,238.0
Ukraine,2020,Карп мін води,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17,238.0
Ukraine,2020,Конті,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,17,238.0
